input_corrector,output_corrector,tag,explanation
"Na miña opinión, os pais deberían comprender ao adolescente e poder chegar a entender o seus problemas na sua vida e axudarlo o mellor que se pode, para que o neno senta ese apoio moral e poda tomar boas decisións ao largo da súa vida.","Na miña opinión, os pais deberían comprender ao adolescente e poder chegar a entender os seus problemas na súa vida e axudalo do mellor xeito posible, para que o neno sinta ese apoio moral e poida tomar boas decisións ao longo da súa vida.",0,"O output_corrector é adecuado porque corrixiu os erros do input_corrector, como a falta de concordancia entre o suxeito e o verbo, e a falta de acentuación en palabras como “adolescente” e “súa”."
"Demais do dito, outros conflictos que se poden dar na casa é cando un fillo ten todo o quére e ameaza os pais con que se marcha ou fai que os seus pais discutan polo seu fillo.","Demais do dito, outros conflitos que se pode dar na casa é cando un fillo ten todo o querer e ameazan aos pais con que se marchan ou fan que os seus pais discuten polo seu fillo.",1,"A etiqueta 1 asígnase porque o output_corrector non pode considerarse correcto xa que introduce un problema gramatical novo. Non foi posible extraer unha avaliación válida do modelo, polo que se aplica unha saída conservadora que require revisión manual."
"Na miña opinión a forma de actúar do pai non me parece a adecuada xa que por moi agobiado que este nese momento a filla non ten porque pagalo, aínda que é verdade que moitas veces os adolescentes e quizáis a maioría da xente empregamos a táctica de se eso non me funciona con un chamo ao outro, pero iso tamén acontece porque cun entendemonós mellor que co outro nalgúns aspectos.","Na miña opinión a forma de actuar do pai non me parece axeitada xa que por moito que estea agoirado no momento a nena non ten por que pagar o erro, aínda que é certo que moitos adolescentes empregan a estratexia de chamarlle á outra persoa cando falla unha primeira opción, mais isto ocorre porque nos entendemos mellor entre nós nalgunhas cuestións.",0,"O output_corrector é adecuado porque corrixiu os erros do input_corrector, mellorando a gramática e a sintaxe."
"En resumen, eu opino que o problema non é tan grave como se presenta no texto, e que cada vez a sociedade é mais culta, ademais, non se pode pretender que todos seamos ""Ángeles Carrocedas"" creo que os xenios, nacen sendo xenios.","En resumo, eu opino que o problema non é tan grave como se presenta no texto, e que cada vez a sociedade é máis culta, ademais, non se pode pretender que todos sexamos «ánxeles carroceda» creo que os xenio, nacen sendo xenio.",0,"O output_corrector é adecuado porque corrixiu os erros de concordancia e ortografía presentes no input_corrector, mellorando a clareza e a corrección da oración."
Sen estes dous aspectos habería moi pouca evolución na sociedade xa que isto tamén beneficia ao sector económico.,Sen estes dous aspectos habería moi pouca evolución na sociedade xa que isto tamén beneficiaría o sector económico.,0,O output_corrector é adecuado porque corrixiu o erro do input_corrector entre “beneficia” e “sector económico”.
"A nosa propia natureza como seres humáns e a educación que recibimos acostúmanos dende novos a buscar referentes a imitar, modelos a seguir, ao mesmo xeito que de bebés aprendemos a valernos por nós mesmos.","A nosa propia natureza coma seres humanos e a educación que recibimos acostumanos dende pequenos a buscar referentes para imitar, modelos para seguir, do mesmo xeito que de bebés aprendemos a valermos por nós mesmos.",1,"A etiqueta 1 asígnase porque o output_corrector non pode considerarse correcto xa que introduce un problema gramatical novo. Non foi posible extraer unha avaliación válida do modelo, polo que se aplica unha saída conservadora que require revisión manual."
"Medir 1,87, pesa 40 kl e cuidarse.","Medir 1,87 m., pesa 39 kg. e coidase.",0,"O output_corrector é adecuado porque corrixiu os erros do input_corrector, como a falta de acento nos números e a corrección de “cuidarse” a “coidase”."
Moitas persoas sofren trastornos alimenticios por querer chegar ó nivel do canón establecido.,Moita xente sofre trastornos alimentarios para alcanzar o canon establecido.,0,"O output_corrector é adecuado porque corrixiu o erro do input_corrector, cambiando “persoas” por “xente” e “sofren” por “sofre” e “chegar” por “alcanzar”."
"Polo que a solución sería o afastamento destas malas costumes e empezar con algunhas novas, cousa, que non se vai facer.","Polo que a solución sería o afastamento destas malas costumes e comezar con algunhas novas, cousa, que non se vai facer.",1,"A etiqueta 1 asígnase porque o output_corrector non pode considerarse correcto xa que introduce un problema gramatical novo. Non foi posible extraer unha avaliación válida do modelo, polo que se aplica unha saída conservadora que require revisión manual."
"O uso das tecnoloxías como de outras cousas con moderación é o que se debe facer, e evitar conflictos.","O uso das tecnoloxías coma doutras cousas con moderación é o que se debe facer, e evitar conflitos.",1,"A etiqueta 1 asígnase porque o output_corrector non pode considerarse correcto xa que introduce un problema gramatical novo. Non foi posible extraer unha avaliación válida do modelo, polo que se aplica unha saída conservadora que require revisión manual."
"Ser modelo ou futbolista non é algo negativo e é moi comun que os nenos intenten ser como a xente que admiran ao igual que no pasado os nenos querian ser ""cowboys"" común chamados vaqueiros ou as nenas quixeron ser actrices; ademais co tempo os nenos cambian de opinión, polo tanto que un neno intenten ser como os seus heroes non e algo negativo.","Ser modelo ou futbolista non é algo negativo e é moi común que os nenos intenten ser coma a xente que admiran, do mesmo xeito que no pasado os nenos querían ser 'cowboys', comúns denominados vaqueiros, ou as nenas desexaban ser actrices; ademais co paso dos anos os nenos cambian de opinión, polo tanto que un neno intente ser coma os seus heroes non é algo negativo.",0,"O output_corrector é adecuado porque corrixiu os erros do input_corrector, como a falta de concordancia entre'ser' e 'neno', e a falta de acentos nos nomes de lugares e profesións."
"A autora mostrase crítica en canto a mocidade quere dende pequenos ser futbolistas ou modelos, xa que é o que ven na tele e o que a sociedade parece que lle da mais importancia e restandolle importancia a cousas tan importantes como a musica, a ciencia, o teatro ou mismamente como vai a cultura do teu país e a presenza que ten a cultura galega nas radios, nas televisións, no cine, na prensta e ese é o problema, xa que non se valora as cousas mais importantes que non coñecemos debido a nosa ignorancia.","A autora móstrase crítica en canto á mocidade quere desde pequenos ser futbolista ou modelo, xa que é o que ve na tele e o que a sociedade parece que lle dá máis importancia e restando importancia a cousas tan importantes coma a música, a ciencia, o teatro ou mesmo a cultura do teu país e a súa presenza nos medios audiovisuais, na prensa escrita e nese sentido, pois ben, porque non valoramos o importante que son esas outras cousas das que non temos coñecemento por mor da nosa ignorancia.",0,"O output_corrector é adecuado porque corrixiu os erros do input_corrector, como a falta de concordancia entre o suxeito e o verbo, e a falta de acentuación en palabras como ""mocidade"" e ""cultura""."
"A sociedade da imaxe, sen dúbida alguna vivimos nunha socieedade maís inhibida que nunca do coñecemento.","A sociedade da imaxe, sen dúbida algunha vivimos nunha sociedade máis inhibida ca nunca do coñecimento.",0,"O output_corrector é adecuado porque corrixiu o erro do input_corrector, cambiando a forma incorrecta de “socieedade” por “sociedade” e “mais” por “máis”, e corrixindo a forma incorrecta de “alguna” por “algunha” e “coñecemento” por “coñecemento”."
