input_modelo;output_modelo
As eleccións para escoller ao novo presidente da comunidade non tiveron lugar por mor do mal ambiente no condominio.;As eleccións para elixir o novo presidente da comunidade non tiveron lugar por mor do mal ambiente no condominio.
O grupo de estudantes do proxecto presentaron os resultados finais onte pola tarde.;O grupo de estudantes do proxecto presentou os resultados finais onte pola tarde.
As propostas que chegaron desde os concellos máis pequenos foi analizadas polo equipo técnico.;As propostas que chegaron desde os concellos máis pequenos foron analizadas polo equipo técnico.
Todas as persoas entrevistadas manifestou a súa opinión durante a sesión pública.;Todas as persoas entrevistadas manifestaron a súa opinión durante a sesión pública.
Os relatorios anuais sobre o impacto ambiental foi revisados exhaustivamente pola comisión de avaliación.;Os relatorios anuais sobre o impacto ambiental foron revisadas exaustivamente pola comisión de avaliación.
A valiosa colección de poemas inéditos do autor galego publicouse recentemente baixo un prestixioso selo independente.;A valiosa colección de poemas inéditos do autor galego publicáronse recentemente baixo un prestixioso selo independente.
O paquete de medidas económicas recentemente aprobado é de aplicación inmediata en todos os sectores da economía.;O paquete de medidas económicas recentemente aprobado é de aplicación inmediata en todos os sectores da economía.
As adversas condicións climáticas dos últimos días obrigou a suspender varias actividades programadas ao aire libre.;As adversas condicións climáticas dos últimos días obrigaron a suspender varias actividades programadas ao aire libre.
Case todos os participantes no curso de formación mostrou un grande interese en continuar coas prácticas adicionais.;Casi todos los participantes del curso de formación mostraron un gran interés en seguir con las prácticas adicionales.
Os sabios consellos que me deches sobre a xestión do tempo foi moi útiles para poder tomar unha decisión acertada.;Os sabios consellos que me deches sobre a xestión do tempo foron moi útiles para poder tomar unha decisión acertada.
