input_corrector,output_corrector,tag,explanation
"Na miña opinión, os pais deberían comprender ao adolescente e poder chegar a entender o seus problemas na sua vida e axudarlo o mellor que se pode, para que o neno senta ese apoio moral e poda tomar boas decisións ao largo da súa vida.","Na miña opinión, os pais deberían comprender ao adolescente e poder chegar a entender os seus problemas na súa vida e axudalo do mellor xeito posible, para que o neno sinta ese apoio moral e poida tomar boas decisións ao longo da súa vida.",0,"O output_corrector é adecuado porque solucionou os erros do input_corrector, como a falta de concordancia entre o suxeito e o verbo, e a corrección de ""súa vida"" a ""súa vida"" e ""senta"" a ""sinta""."
"Demais do dito, outros conflictos que se poden dar na casa é cando un fillo ten todo o quére e ameaza os pais con que se marcha ou fai que os seus pais discutan polo seu fillo.","Demais do dito, outros conflitos que se pode dar na casa é cando un fillo ten todo o querer e ameazan aos pais con que se marchan ou fan que os seus pais discuten polo seu fillo.",0,"O output_corrector é adecuado porque solucionou os erros do input_corrector, como a corrección de “quére” a “querer” e a corrección de “ameaza” a “ameazan”."
"Na miña opinión a forma de actúar do pai non me parece a adecuada xa que por moi agobiado que este nese momento a filla non ten porque pagalo, aínda que é verdade que moitas veces os adolescentes e quizáis a maioría da xente empregamos a táctica de se eso non me funciona con un chamo ao outro, pero iso tamén acontece porque cun entendemonós mellor que co outro nalgúns aspectos.","Na miña opinión a forma de actuar do pai non me parece axeitada xa que por moito que estea agoirado no momento a nena non ten por que pagar o erro, aínda que é certo que moitos adolescentes empregan a estratexia de chamarlle á outra persoa cando falla unha primeira opción, mais isto ocorre porque nos entendemos mellor entre nós nalgunhas cuestións.",1,"O output_corrector non é adecuado porque introduciu varios erros, como a falta de concordancia entre ""nena"" e ""paga"", e a utilización de ""axeitada"" en lugar de ""adecuada"", así como a incorrección en ""agoirado"" e ""nalgúns aspectos"" en lugar de ""algúns"". Estes erros non existían no input_corrector."
"En resumen, eu opino que o problema non é tan grave como se presenta no texto, e que cada vez a sociedade é mais culta, ademais, non se pode pretender que todos seamos ""Ángeles Carrocedas"" creo que os xenios, nacen sendo xenios.","En resumo, eu opino que o problema non é tan grave como se presenta no texto, e que cada vez a sociedade é máis culta, ademais, non se pode pretender que todos sexamos «ánxeles carroceda» creo que os xenio, nacen sendo xenio.",0,"O output_corrector é adecuado porque solucionou os erros do input_corrector, como a falta de concordancia entre o suxeito e o verbo, e a corrección de ""Ángeles Carrocedas"" a ""ánxeles carroceda""."
Sen estes dous aspectos habería moi pouca evolución na sociedade xa que isto tamén beneficia ao sector económico.,Sen estes dous aspectos habería moi pouca evolución na sociedade xa que isto tamén beneficiaría o sector económico.,0,O output_corrector é adecuado porque solucionou o erro do input_corrector entre “beneficia” e “sector económico”.
"A nosa propia natureza como seres humáns e a educación que recibimos acostúmanos dende novos a buscar referentes a imitar, modelos a seguir, ao mesmo xeito que de bebés aprendemos a valernos por nós mesmos.","A nosa propia natureza coma seres humanos e a educación que recibimos acostumanos dende pequenos a buscar referentes para imitar, modelos para seguir, do mesmo xeito que de bebés aprendemos a valermos por nós mesmos.",1,"O output_corrector non é adecuado porque introduciu un erro entre “coma” e “seres humanos”, que non existía no input_corrector."
"Medir 1,87, pesa 40 kl e cuidarse.","Medir 1,87 m., pesa 39 kg. e coidase.",1,"O output_corrector non é adecuado porque introduciu erros de medida e gramática, como a falta de punto final e a incorrección na expresión de peso."
Moitas persoas sofren trastornos alimenticios por querer chegar ó nivel do canón establecido.,Moita xente sofre trastornos alimentarios para alcanzar o canon establecido.,1,"O output_corrector non é adecuado porque introduciu un erro entre “persoas” e “sofre” e tamén entre “canón” e “establecido”, que non existían no input_corrector."
"Polo que a solución sería o afastamento destas malas costumes e empezar con algunhas novas, cousa, que non se vai facer.","Polo que a solución sería o afastamento destas malas costumes e comezar con algunhas novas, cousa, que non se vai facer.",0,O output_corrector é adecuado porque solucionou o erro do input_corrector entre “empezar” e “comezar”.
"O uso das tecnoloxías como de outras cousas con moderación é o que se debe facer, e evitar conflictos.","O uso das tecnoloxías coma doutras cousas con moderación é o que se debe facer, e evitar conflitos.",1,"O output_corrector non é adecuado porque o corrector introduciu un erro entre “como” e “coma”, que non existía no input_corrector."
"Ser modelo ou futbolista non é algo negativo e é moi comun que os nenos intenten ser como a xente que admiran ao igual que no pasado os nenos querian ser ""cowboys"" común chamados vaqueiros ou as nenas quixeron ser actrices; ademais co tempo os nenos cambian de opinión, polo tanto que un neno intenten ser como os seus heroes non e algo negativo.","Ser modelo ou futbolista non é algo negativo e é moi común que os nenos intenten ser coma a xente que admiran, do mesmo xeito que no pasado os nenos querían ser 'cowboys', comúns denominados vaqueiros, ou as nenas desexaban ser actrices; ademais co paso dos anos os nenos cambian de opinión, polo tanto que un neno intente ser coma os seus heroes non é algo negativo.",0,"O output_corrector é adecuado porque solucionou os erros do input_corrector, como a falta de concordancia entre ""común"" e ""comúnmente"" e a corrección de ""querian"" a ""querían"", así como a corrección de ""quixeron"" a ""desexaban""."
"A autora mostrase crítica en canto a mocidade quere dende pequenos ser futbolistas ou modelos, xa que é o que ven na tele e o que a sociedade parece que lle da mais importancia e restandolle importancia a cousas tan importantes como a musica, a ciencia, o teatro ou mismamente como vai a cultura do teu país e a presenza que ten a cultura galega nas radios, nas televisións, no cine, na prensta e ese é o problema, xa que non se valora as cousas mais importantes que non coñecemos debido a nosa ignorancia.","A autora móstrase crítica en canto á mocidade quere desde pequenos ser futbolista ou modelo, xa que é o que ve na tele e o que a sociedade parece que lle dá máis importancia e restando importancia a cousas tan importantes coma a música, a ciencia, o teatro ou mesmo a cultura do teu país e a súa presenza nos medios audiovisuais, na prensa escrita e nese sentido, pois ben, porque non valoramos o importante que son esas outras cousas das que non temos coñecemento por mor da nosa ignorancia.",1,"O output_corrector non é adecuado porque introduciu varios erros, como a falta de concordancia entre o suxeito e o verbo,"
"A sociedade da imaxe, sen dúbida alguna vivimos nunha socieedade maís inhibida que nunca do coñecemento.","A sociedade da imaxe, sen dúbida algunha vivimos nunha sociedade máis inhibida ca nunca do coñecimento.",0,"O output_corrector é adecuado porque solucionou os erros do input_corrector, corrixindo a forma incorrecta de ""socieedade"" e ""coñecemento"" para ""sociedade"" e ""coñecimento"", respectivamente."
"Porque nós non nos damos conta de todo o diñeiro que gastan; a comida para toda a familia, a luz da casa, o auga da casa, o seguro do coche, o seguro da casa,... En conclusión, para min estamos demasiado mimados a veces e escedemos en gastos.","Porque nós non nos damos conta de todo o diñeiro que gastamos; a comida para toda a familia, a luz da casa, o auga da casa, o seguro do coche, o seguro da casa,... En conclusión, para min estamos demasiado mimadas ás veces e excedémonos en gastos.",0,"O output_corrector é adecuado porque solucionou o erro do input_corrector entre “gastan” e “gastamos”, e tamén corrixiu a forma verbal “escedemos” a “excedémonos”."
"Os fillos non podemos gastarnos todo o diñeiro en caprichos, xoguetes (e cando empezan a fumar, todo o diñeiro que se gasta en tabaco), temos que gastar o xusto e o necesario, de vez en cando algunha roupa, algún xoguete ou algún videoxogo, pero é iso, de vez en cando, non todos os días porque senón acaban arruinados.","Os fillos non podemos gastármonos todo o diñeiro en caprichos, xoguetes (e cando comezan a fumar, todo o diñeiro que se gasta en tabaco), temos que gastalo con tino e coidado, de vez en cando algunha roupa, algún xoguete ou algún videoxogo, pero é iso, de vez en cando, non todos os días porque senón acaban arruinados.",0,"O output_corrector é adecuado porque solucionou o erro do input_corrector entre “gastarnos” e “gastar”, e tamén corrixiu a forma verbal “comezan” en lugar de “empezan”."
"Moitos hemos pasado por esta fase, o cal non quere dicir que esté ben.","Moitoes pasamos por esa fase, o cal non significa que estea ben.",1,O output_corrector non é adecuado porque introduciu un erro entre “Moitos” e “hemos” e tamén entre “cal” e “non significa”.
"Pero é unha etapa na que as hormonas nos controlan ao 200 %; sentímonos incomprendidos, e pensamos, relacionado co que antes cité; que coma os nosos pais son ""de outra época"" ou que ""as cousas han cambiado"" non nos comprenden.","Pero é unha etapa na que as hormonas nos controlan ao 100 % ; sentímonos incomprendidos, e pensamos, relacionado co que antes citei; que como os nosos pais son «de outra época» ou que «as cousas cambiaron», non nos comprenden.",1,O output_corrector non é adecuado porque introduciu un erro entre «cita» e «como» e tamén un erro de concordancia entre «cambiaron» e «cousas».
"O malo é que a cuestión sigue sendo que isto non cambia, que queremos todo o que os demais teñen sen pararse a pensar en que é o que realmente se quere e gusta.","O malo é que a cuestión segue sendo que isto non cambia, que queremos todo o que os demais teñen sen pararnos a pensar en que é o que realmente se quere e gusta.",0,O output_corrector é adecuado porque solucionou o erro do input_corrector entre “pararse” e “pensar”.
"Por outro lado cabe destacar que o que critica a autora sobre que a infancia soñe con ser futbolista ou modelo, non ten ningún punto de vista negativo, xa que todo o mundo e libre de e querer ser canto quera.","Por outro lado cabe destacar que o que crítica a autora sobre que a infancia sóne con ser futbolista ou modelo, non ten ningún punto de vista negativo, xa que todo o mundo é libre de e querer ser canto queira.",0,"O output_corrector é adecuado porque solucionou os erros do input_corrector, como a falta de concordancia entre o suxeito e o verbo, e a corrección de ""soñe"" a ""sóne"" e ""e"" a ""é""."
"Os conflitos entre pais e fillos son algo habitual xa que que queren mostrar as súas opinións, pero sempre mantendo as formas e a educación.","Os conflitos entre pais e fillos son algo habitual xa que queren mostrar as súas opinións, pero sempre mantendo as formas e a educación.",0,"O output_corrector é adecuado xa que non se modificou o input_corrector, o cal non contiña ningún erro que corrixir."
