input_corrector,output_corrector,gold_standard,tag
"Na miña opinión, os pais deberían comprender ao adolescente e poder chegar a entender o seus problemas na sua vida e axudarlo o mellor que se pode, para que o neno senta ese apoio moral e poda tomar boas decisións ao largo da súa vida.","Na miña opinión, os pais deberían comprender ao adolescente e poder chegar a entender os seus problemas na súa vida e axudalo do mellor xeito posible, para que o neno sinta ese apoio moral e poida tomar boas decisións ao longo da súa vida.","Na miña opinión, os pais deberían comprender o adolescente e poder chegar a entender os seus problemas na súa vida e axudalo o mellor que se pode, para que o neno sinta ese apoio moral e poida tomar boas decisións ao longo da súa vida.",1
"Demais do dito, outros conflictos que se poden dar na casa é cando un fillo ten todo o quére e ameaza os pais con que se marcha ou fai que os seus pais discutan polo seu fillo.","Demais do dito, outros conflitos que se pode dar na casa é cando un fillo ten todo o querer e ameazan aos pais con que se marchan ou fan que os seus pais discuten polo seu fillo.","Ademais do dito, outros conflitos que se poden dar na casa ocorren cando un fillo ten todo o que quere e ameaza os pais con que se marcha ou fai que os seus pais discutan polo seu fillo.",1
"Na miña opinión a forma de actúar do pai non me parece a adecuada xa que por moi agobiado que este nese momento a filla non ten porque pagalo, aínda que é verdade que moitas veces os adolescentes e quizáis a maioría da xente empregamos a táctica de se eso non me funciona con un chamo ao outro, pero iso tamén acontece porque cun entendemonós mellor que co outro nalgúns aspectos.","Na miña opinión a forma de actuar do pai non me parece axeitada xa que por moito que estea agoirado no momento a nena non ten por que pagar o erro, aínda que é certo que moitos adolescentes empregan a estratexia de chamarlle á outra persoa cando falla unha primeira opción, mais isto ocorre porque nos entendemos mellor entre nós nalgunhas cuestións.","Na miña opinión, a forma de actuar do pai non me parece a adecuada, xa que, por moi agoniado que estea nese momento, a filla non ten por que pagalo, aínda que é verdade que moitas veces os adolescentes, e quizais a maioría da xente, empregamos a táctica de se iso non me funciona con un chamo ao outro "", pero iso tamén acontece porque con un entendémonos mellor que co outro nalgúns aspectos.",1
"En resumen, eu opino que o problema non é tan grave como se presenta no texto, e que cada vez a sociedade é mais culta, ademais, non se pode pretender que todos seamos ""Ángeles Carrocedas"" creo que os xenios, nacen sendo xenios.","En resumo, eu opino que o problema non é tan grave como se presenta no texto, e que cada vez a sociedade é máis culta, ademais, non se pode pretender que todos sexamos «ánxeles carroceda» creo que os xenio, nacen sendo xenio.","En resumo, eu opino que o problema non é tan grave como se presenta no texto, e que cada vez a sociedade é máis culta. Ademais, non se pode pretender que todos sexamos ""Ángeles Carracedos""; creo que os xenios, nacen sendo xenios.",1
Sen estes dous aspectos habería moi pouca evolución na sociedade xa que isto tamén beneficia ao sector económico.,Sen estes dous aspectos habería moi pouca evolución na sociedade xa que isto tamén beneficiaría o sector económico.,"Sen estes dous aspectos habería moi pouca evolución na sociedade, xa que isto tamén benefician o sector económico.",1
"A nosa propia natureza como seres humáns e a educación que recibimos acostúmanos dende novos a buscar referentes a imitar, modelos a seguir, ao mesmo xeito que de bebés aprendemos a valernos por nós mesmos.","A nosa propia natureza coma seres humanos e a educación que recibimos acostumanos dende pequenos a buscar referentes para imitar, modelos para seguir, do mesmo xeito que de bebés aprendemos a valermos por nós mesmos.","A nosa propia natureza como seres humanos e a educación que recibimos acostúmannos dende novos a buscar referentes a imitar, modelos a seguir, do mesmo xeito que de bebés aprendemos a valernos por nós mesmos.",1
"Medir 1,87, pesa 40 kl e cuidarse.","Medir 1,87 m., pesa 39 kg. e coidase.","medir 1,87, pesar 40 kg e cuidarse.",1
Moitas persoas sofren trastornos alimenticios por querer chegar ó nivel do canón establecido.,Moita xente sofre trastornos alimentarios para alcanzar o canon establecido.,Moitas persoas sofren trastornos alimentarios por querer chegar ó nivel do canon establecido.,1
"Polo que a solución sería o afastamento destas malas costumes e empezar con algunhas novas, cousa, que non se vai facer.","Polo que a solución sería o afastamento destas malas costumes e comezar con algunhas novas, cousa, que non se vai facer.","Polo que, a solución sería o afastamento destas malos costumes e empezar con algúns novos, cousa, que non se vai facer.",1
"O uso das tecnoloxías como de outras cousas con moderación é o que se debe facer, e evitar conflictos.","O uso das tecnoloxías coma doutras cousas con moderación é o que se debe facer, e evitar conflitos.","O Usar das tecnoloxías, como outras cousas, con moderación é o que se debe facer, e evitar conflitos.",1
